thesis	attempt	metric	baseline	status	summary
#22	thesis/22-optimize-scope-lookup-by-caching-scope-to-node-associations	304.0000	304.0000	discarded	getScope() is called only 9,113 times total (not 195K as hypothesized), takes 2.23ms total. WeakMap cache already provides near-100% hit rate. Avg 0.24us per call. No optimization opportunity -- scope lookup is not a bottleneck.
#23	thesis/23-minimize-per-file-overhead-in-verifywithflatconfigarray	304.0000	304.0000	discarded	Profiled #flatVerifyWithoutProcessors phase-by-phase. parseSync=67ms, traverse()=21ms, traverseSync=33ms account for 99% of verify time. Rule setup + config glue + directives = ~1ms total. No optimization opportunity in per-file overhead -- it's already minimal.
#24	thesis/24-optimize-hot-recommended-rules-by-profiling-individual-rule-cost	321.2000	352.2500	discarded	[v1-accepted, not merged to v2] Safe integer fast path in no-loss-of-precision: add Number.isSafeInteger() early return to skip all precision checks for integers exactly representable in IEEE 754. Also move regex patterns and prefix checks to module-level constants. This rule was the #1 bottleneck at 125ms (24.8% of verify time per TIMING=all profiling). Most numeric literals in the 19.5k-line benchmark are safe integers, so the fast path skips nearly all work. 3 outer runs each: candidate mean 321.20ms (320.31-321.70) vs main mean 352.25ms (351.30-353.63). ~31ms improvement. Fingerprint 4944605e99e3, 63 messages.
#25	thesis/25-optimize-traversal-step-array-construction-in-sourcecode-traverse	303.7500	322.0500	discarded	[v1-accepted, not merged to v2] Replace VisitNodeStep/CallMethodStep class instances with plain object literals in traverse(). Each of the 193K steps previously created TWO objects (options hash + class instance with field initializers); plain literals eliminate the options hash, constructor call, and unused type field. 3 outer runs each: candidate mean 303.75ms (303.02-304.87) vs main mean 322.05ms (320.65-323.33). ~18ms improvement. Fingerprint 4944605e99e3, 63 messages.
#28	thesis/28-profile-and-optimize-the-next-most-expensive-individual-rules-after-no-loss-of-precision	325.0000	304.0000	discarded	Set-to-Array conversion in no-useless-assignment + hoisted RegExpParser in no-useless-escape. REGRESSED ~21ms. V8 optimizes Set iteration better than Array indexOf+splice. TIMING=all inflates per-rule costs 3-5x due to ~3us measurement overhead per listener call; actual per-rule savings from micro-optimizations within individual rules are in the noise.
#29	thesis/29-short-circuit-code-path-analysis-for-simple-functions-with-no-branching	133.5200	132.2000	discarded	Flat-stack prescan optimization (avoid ~90K array pair allocations). Changed prescan from [[node,parent]] pairs to flat [node, parent, node, parent] stack. All 284 CPA tests pass, fingerprint correct. A/B test 5 runs: candidate 133.52ms vs baseline 132.20ms, delta -1.32ms. Combined with prior results showing ~0ms with nested-pair prescan. Core issue: prescan costs ~2.5ms but CPA operations for trivial functions are mostly no-ops that V8 JIT already optimizes to ~20ns each. 229/559 code paths (41%) bypassed but net effect is zero.
#31	thesis/31-replace-traversal-step-array-with-direct-recursive-walk-to-eliminate-193k-element-allocation	307.0000	303.0000	discarded	Inline traversal dispatch eliminates 193K step-object allocation but requires a separate assignParentProperties() walk (rules need node.parent during create()). Two walks + callback overhead offsets savings from skipping step array. Candidate median 307ms vs baseline 303ms across 4 interleaved benchmark sessions. MIN values (294 vs 301) hint at a small improvement masked by GC variance, but median shows no gain.
#32	thesis/32-optimize-no-undef-rule-with-fast-path-for-declared-identifiers	304.0000	304.0000	discarded	no-undef rule only registers for Program:exit, iterating globalScope.through (pre-built unresolved reference list). It does NOT fire per-Identifier node. The rule runs once at program end and iterates a small array. No fast-path opportunity exists -- the hypothesis was based on an incorrect assumption about rule behavior.
#33	thesis/33-pre-filter-complex-selectors-by-parent-node-type-to-reduce-matches-calls	278.9300	306.2000	discarded	[v1-accepted, not merged to v2] Compile fast-check functions to bypass esquery.matches() calls for 3 common selector patterns: (1) all-identifier :matches() marked guaranteed match, (2) compound identifier+attribute checks compiled to direct property checks, (3) child identifier+field compiled to parent type+field ancestry check. Stored as _fc property on esquery AST root nodes. 3 interleaved server runs: candidate mean 278.93ms (276.52, 276.94, 283.32) vs baseline mean 306.20ms (306.83, 305.85, 305.91). ~27ms improvement. Fingerprint 4944605e99e3, 63 messages. All 761 linter tests pass.
#34	thesis/34-defer-comment-attachment-in-sourcecode-to-lazy-first-use	141.3600	141.3600	discarded	SourceCode constructor is only 1.3ms total. No eager comment attachment exists -- comments are stored in a flat array and accessed lazily via binary search in TokenStore. Line splitting (regex scan + array construction) costs 0.85ms. sortedMerge already deferred by thesis #3. Object.freeze costs 0.08ms. getCommentsBefore called 167 times per verify, getCommentsAfter/Inside: 0 calls. No optimization opportunity -- hypothesis was incorrect.
#35	thesis/35-compile-attribute-selectors-to-direct-property-checks-to-bypass-esquery-dispatch	129.5100	134.7200	non_improvement	Compile selector fast-checks to bypass 97.5% of esquery.matches() calls (168K to 4K). Three patterns: (1) compound selectors with identifier+simple attributes compiled to direct property checks (e.g. Literal[regex] to node.regex!==null), (2) all-identifier matches selectors marked guaranteed match, (3) child selectors with identifier+field compiled to parent type+field check. Biggest win: ForStatement>.test from no-constant-condition had nodeTypes:null (field returns null from analyzeSelector), checked against all 90,855 AST nodes with only 32 hits. A/B 7 runs: candidate 129.51ms vs baseline 134.72ms, delta 5.21ms. All 33,325 rule tests pass (same 2 pre-existing failures as main). Fingerprint 4944605e99e3.
#36	thesis/36-avoid-repeated-config-normalization-by-caching-finalized-rule-configs-on-linter	277.1600	277.1600	discarded	Code analysis confirms config normalization is not a bottleneck. Thesis #23 profiled phase-by-phase and showed parseSync=67ms, traverse()=21ms, traverseSync=33ms account for 99% of verify time. Rule setup + config finalization + directives total under 1ms for all 57 rules. Even eliminating config normalization entirely would save under 1ms per verify call, far below 10ms threshold.
#37	thesis/37-inline-traversal-without-separate-parent-property-walk	304.0000	305.0000	discarded	Lean recursive walk (no Traverser overhead) + separate setParentProperties + inline dispatch. Two-walk approach: median 304ms vs baseline 305ms (8 interleaved rounds). Single-walk version (parent inline, breaks 1 test) shows ~2-3ms median improvement, MINs consistently ~10ms lower (290 vs 301), but below 10ms tolerance on median. Node 22 V8 JIT handles step-array iteration as efficiently as inline recursive dispatch.
#38	thesis/38-pool-and-reuse-traversal-step-objects-to-reduce-gc-pressure	277.1600	277.1600	discarded	Thesis invalidated by thesis #45 (accepted, merged). Thesis #45 replaced 193K step objects with typed arrays (Uint8Array for step types, flat arrays for targets/args). There are no step objects to pool -- the step encoding uses primitive typed array entries, not heap-allocated objects. Object pooling has no target.
#39	thesis/39-combine-enter-and-exit-dispatch-for-leaf-ast-nodes-to-halve-leaf-step-count	299.1100	302.0500	discarded	Combined leaf dispatch (skip ancestry push/pop for leaves), inline AST walk (eliminate Traverser class overhead), and forwardCurrentToHead short-circuit. Mean of 3 server runs: candidate 299.11ms, baseline 302.05ms. ~3ms improvement, below 10ms tolerance. V8 22 uses optimized deque for unshift/shift making ancestry O(1) in practice. Lazy ancestry from parent chain approach regressed 11ms due to repeated array allocation.
#41	thesis/41-optimize-no-useless-assignment-verify-function-and-hot-paths	304.0000	304.0000	discarded	Map/Set segment-to-assignment index in verify() adds construction overhead that offsets O(1) lookup savings for small allAssignments arrays. Identifier listener (30K+ calls) is already minimal work per call. Total rule cost (~12ms server) barely exceeds 10ms tolerance, making it impossible to achieve meaningful improvement from this rule alone.
#44	thesis/44-use-generator-based-lazy-traversal-to-avoid-upfront-193k-step-array-allocation	277.1600	277.1600	discarded	Thesis invalidated by thesis #45 (accepted, merged). Thesis #45 replaced 193K step objects with typed arrays (Uint8Array for step types, flat arrays for targets/args), eliminating the object allocation premise entirely. Generator-based iteration would add ~50-100ns overhead per yield across 193K steps (~10-20ms total), likely causing regression. The callback-based alternative (direction point 3) was already explored by thesis #31 (inline recursive dispatch) which showed 0ms improvement.
#45	thesis/45-encode-traversal-steps-as-typed-arrays-instead-of-object-arrays	288.6900	304.1200	discarded	[v1-accepted, not merged to v2] Typed arrays for step encoding + inline walk + leaf dispatch combining + forwardCurrentToHead short-circuit. Mean of 3 server runs: candidate 288.69ms (range 287.69-289.38), baseline 304.12ms (range 301.61-306.84). Improvement: 15.43ms.
#46	thesis/46-reduce-dispatch-overhead-by-pre-sorting-listeners-by-specificity-to-skip-low-priority-checks	277.1600	277.1600	discarded	Thesis invalidated by thesis #33 (compiledCheck) which already bypasses 97.5% of esquery.matches() calls, reducing them from 168K to ~4K. The remaining 4K calls at ~20-50ns each = ~0.2ms total. Thesis #57 confirmed that further dispatch list optimization gives 0ms. Pre-sorting listeners by specificity has no target to optimize.
#50	thesis/50-skip-exit-phase-traversal-steps-for-node-types-with-no-exit-listeners	119.9800	118.2300	discarded	Skip exit-phase dispatch for node types with no exit listeners. Pre-compute exitTable and hasExitFallback before typed-array loop, check before dispatching exit selectors on both leaf and normal exit paths. Interleaved A/B 3 rounds: candidate 118.51/118.93/122.51 (mean 119.98) vs baseline 118.28/118.89/117.52 (mean 118.23). Fingerprint 4944605e99e3, 63 messages. Delta -1.75ms (regression within noise). V8 JIT handles empty-iteration efficiently; branch-check overhead offsets savings.
#51	thesis/51-reduce-scope-analysis-integration-overhead-by-replacing-weakmap-lookups-with-direct-node-properties	130.1200	130.1200	discarded	Profiled scope WeakMap overhead: getScope() called 9,113 times at avg 202ns per call = 1.84ms total. Node-property cache would save ~50ns/call = 0.46ms. Far below 10ms. Thesis #22 and #51 negative knowledge confirmed.
#55	thesis/55-improve-esquery-analyzer	120.0000	120.0000	discarded	Only 1 of 89 registered selectors ends up in the anyType list (ForStatement > .test). All other 88 selectors already have nodeTypes set. The anyType selector is already handled by thesis #33 compiledCheck fast-path. Improving analyzeSelector to infer nodeTypes for child/field selectors would move this 1 selector to a type-specific list but not reduce dispatch work -- the compiledCheck already avoids esquery.matches() for it. No code changes needed: the problem is already solved.
#55	thesis/55-improve-esquery-analyzeselector-to-infer-nodetypes-for-child-descendant-selectors-and-reduce-anytype-fallback	115.6500	115.6500	discarded	Thesis invalidated by thesis #33 (merged). esquery.matches() at 0. Only 1 anyType selector. No path to 10ms.
#56	thesis/56-optimize-code-path-analysis-forwardcurrenttohead-with-segment-reuse-and-branch-skipping	112.9000	119.0000	discarded	Node-type-based CPA bypass: built Sets of 29 CPA-relevant node types and 15 CPA-relevant parent types. Nodes where neither node.type nor parent.type trigger any CPA switch case skip all CPA processing (preprocess, processCodePathToEnter/Exit, forwardCurrentToHead, postprocess). Measured ~6ms improvement (119.0 to 112.9ms, 3 runs each), but below the 10ms acceptance threshold. CPA total overhead is only 11.4ms across 90,855 nodes (~125ns/node). Previous theses #4 (ForkContext allocation ~5ms), #11 (early bail-out caused JIT deopt), #29 (prescan ~0ms) also failed. The optimization frontier for CPA is exhausted -- the overhead is spread too thinly across too many nodes for any single optimization to reach 10ms.
#57	thesis/57-split-pre-merged-selector-lists-into-guaranteed-and-needs-check-sub-arrays-to-eliminate-per-selector-branching	117.8400	118.4100	discarded	Split pre-merged lists into guaranteed (identifier) and needsCheck sub-arrays with pre-resolved function arrays from visitor. Eliminates per-selector type check and per-dispatch Map.get() lookup. 5 interleaved A/B rounds: candidate mean 117.84ms vs baseline 118.41ms, delta 0.57ms. V8 JIT already optimizes Map.get() on small maps to ~2ns and branch prediction is near-perfect for the identifier check. Pre-resolution doesn't help.
#59	thesis/59-optimize-no-useless-assignment-rule-by-caching-segment-lookups-and-reducing-set-to-array-conversions	277.4100	277.1600	discarded	Three optimizations to no-useless-assignment: (1) parallel currentSegmentInfos array to avoid Set iteration in 30K-call Identifier listener, (2) cachedSegmentsSnapshot to avoid repeated [...currentSegments] spreads per assignment, (3) segment-to-assignment index to replace O(n*m) allAssignments.find/includes with O(1) lookup in verify(). Clean A/B on server (5 rounds, only no-useless-assignment.js differs): candidate mean 277.41ms vs baseline 277.16ms, delta -0.26ms. Rule total is ~12ms local; per-code-path assignment arrays are too small for algorithmic improvements to outweigh index construction overhead.
#60	thesis/60-cache-rule-listener-registration-and-selector-compilation-across-verify-calls	119.0000	119.0000	discarded	Profiled per-verify() breakdown: parseSync=67ms (57%, not editable), traverse()=18ms (15%, CPA-dominated), traverseSync=29ms (25%, well-optimized), setup=1.3ms (1%). The thesis targets setup cost (rule listener registration + selector compilation) which totals only 1.3ms. ESQueryHelper construction is ~1ms; selectorCache already persists parsed selectors across calls; compiledFastCheck is cached on selector root objects. SourceCode is re-created every verify() call because lastSourceCode is cleared for string inputs (linter.js:1363), but caching it would violate constraint #4. No path to 10ms improvement exists.
#61	thesis/61-optimize-ast-visitor-dispatch-by-pre-compiling-direct-function-call-chains-per-node-type	118.5000	119.9000	discarded	Pre-resolved listener function references from visitor Map at ESQueryHelper construction time, eliminating Map.get + array lookup in callSyncSingle on 100K dispatch calls. Also added callSync2 fast path for CPA events (12K calls) to avoid rest/spread. A/B 5 rounds: candidate mean 118.47ms vs baseline 119.89ms, delta ~1.4ms. Total dispatch mechanism overhead (Map.get + selector loop + listener resolution) measured at ~5ms. Even eliminating it entirely is below 10ms threshold.
#62	thesis/62-optimize-code-path-analysis-by-reducing-segment-graph-operations-for-deeply-nested-functions	277.1600	277.1600	discarded	CPA total overhead is 11.4ms across 90,855 nodes (~125ns/node per thesis #56 measurement). Cannot reach 10ms improvement from an 11.4ms budget without eliminating CPA entirely. Previous CPA theses: #4 (5ms from direct assignment), #29 (0ms from trivial function skip), #56 (6ms from node-type bypass). All individually below 10ms threshold. Even combining all known CPA optimizations (5+0+6=11ms theoretical max) would not stack cleanly due to overlapping changes. The optimization frontier for CPA is exhausted.
#63	thesis/63-reduce-gc-pressure-by-reusing-ancestry-array-and-node-visitor-arguments	277.1600	277.1600	discarded	Code analysis shows ancestry unshift/shift is O(1) with V8 deque (thesis #39 confirmed). 11,904 callMethod steps have total dispatch overhead of ~0.6ms (spread) + ~0.12ms (array allocation). Even eliminating ALL callMethod overhead saves <1ms. GC pressure from non-editable parsing/scope allocations (80% of 127MB) cannot be reduced from editable code. The ancestry array never exceeds ~30 entries (max AST depth). No optimization path to 10ms.
#64	thesis/64-reduce-array-allocation-in-rule-listener-event-emission-by-inlining-dispatch	119.9000	122.9000	discarded	CPA emit2 optimization: changed 11,712 two-arg CPA emit calls to store args as positional values (step type 4) instead of creating [arg1,arg2] arrays. Added callSync2 to SourceCodeVisitor to avoid rest/spread. Eliminates 11,712 short-lived array allocations and spread operations per verify(). A/B 7 rounds: candidate mean 119.89ms vs baseline 122.85ms, delta -2.96ms median. MIN delta -4.57ms. Real but bounded improvement - total CPA event overhead is ~4.4ms and we recover most of it, but absolute savings below 10ms threshold.
#65	thesis/65-optimize-no-fallthrough-rule-and-other-low-cost-rules-via-shared-listener-batching	277.1600	277.1600	discarded	Thesis premise is incorrect. SourceCodeVisitor already batches all rules listeners for the same selector name. callSyncSingle(name, node) calls ALL registered listeners for that name in one dispatch. The overhead is per-unique-selector-name, not per-rule. With 89 unique selectors already merged into pre-merged lists, there is no redundant dispatch to eliminate. The batching proposed in this thesis is the current architecture.
#66	thesis/66-replace-sourcecode-binary-search-token-lookups-with-interpolation-search-for-large-token-arrays	125.4200	124.2500	discarded	Replaced binary search with interpolation search in token-store/utils.js search(). Profiling shows search() is called only 167 times per verify() for 0.027ms total (159ns avg). Even eliminating search entirely saves 0.027ms -- three orders of magnitude below 10ms threshold. Candidate 125.42ms vs baseline 124.25ms, within noise.
#67	thesis/67-combine-cpa-event-emission-with-typed-array-step-encoding-to-eliminate-callmethod-steps	277.1600	277.1600	discarded	Architecture analysis shows this is not feasible. CPA events are emitted during traverse() inside analyzer.enterNode/leaveNode. They create callMethod steps that fire during traverseSync() interleaved with enter/exit events. Rules depend on this ordering (e.g., no-useless-assignment needs onCodePathSegmentStart before Identifier events). Moving CPA dispatch to traverse() would fire all CPA events before any enter/exit events, breaking event ordering. The only alternative (single-pass inline traversal) was already tried by theses #31 and #37 (0ms). Additionally, thesis #63 confirmed callMethod overhead is only ~0.7ms (11,904 calls at ~60ns each including spread and array allocation).
#68	thesis/68-pre-compute-dispatchselectors-function-per-node-type-to-eliminate-per-node-branching	117.7000	120.2000	discarded	Pre-compiled dispatch functions per (nodeType,isExit) pair resolving listener refs at construction time. A/B shows ~0-2ms. Dispatch overhead ~5ms total, cannot reach 10ms.
#69	thesis/69-optimize-sourcecode-comment-attachment-by-deferring-getcommentsbefore-to-lazy-proxy	122.4500	122.4000	discarded	Profiled comment API: getCommentsBefore called 167 times/verify, getCommentsAfter/Inside 0 times. Total time 0.065ms (386ns avg). Far below 10ms threshold. No optimization possible.
#70	thesis/70-reduce-espree-parser-overhead-by-passing-minimal-options-and-skipping-token-array-construction	277.1600	277.1600	discarded	Code analysis of lib/languages/js/index.js parse() method shows all four parser options (loc, range, tokens, comment) are forced to true and are essential. tokens: needed by TokenStore for getTokenBefore/After used by many rules. comment: needed for disable directive processing. loc: needed for error location reporting. range: needed for range-based rule checks. None can be disabled without breaking rules. The parser itself (espree/acorn) is in node_modules and cannot be modified. Thesis #3 already eliminated the most expensive post-parse processing (createIndexMap, 22ms). No further parsing optimization is possible from the editable surface.
#71	thesis/71-eliminate-traverser-class-overhead-by-walking-ast-with-direct-visitor-keys-iteration	278.9300	278.9300	discarded	Traverser class is already eliminated from the hot path by thesis #45. The traverse() method uses an inline recursive walk() function (source-code.js:1195-1218). Traverser is only used in getNodeByRangeIndex() which is a non-hot utility function. Thesis is moot.
#72	thesis/72-profile-and-optimize-the-remaining-expensive-rule-listeners-using-low-overhead-sampling	123.1800	121.8300	discarded	Comprehensive per-rule profiling: no-unused-vars ~7ms, no-useless-assignment ~5.5ms, all others <2ms. Total rule execution ~29ms. No single rule costs >=10ms, threshold unreachable.
#73	thesis/73-eliminate-the-parent-property-assignment-pass-by-setting-parent-during-typed-array-walk	278.9300	278.9300	discarded	Parent assignment is already inlined in the walk() function at source-code.js:1196 (node.parent = parent). No separate pass exists. Thesis #45's typed-array walk already includes inline parent setting. This thesis is moot.
#74	thesis/74-optimize-eslint-scope-integration-by-caching-getscope-results-in-node-properties	119.1800	120.1700	discarded	getScope called 9113 times/verify at 190ns avg (WeakMap cache near-100% hit rate). Total 1.73ms. Node-property cache would save ~50ns/call = 0.46ms. Far below 10ms. Thesis #22 and #51 negative knowledge confirmed.
#75	thesis/75-reduce-leaf-node-dispatch-overhead-by-combining-enter-and-exit-selector-lists-into-a-single-merged-iteration	118.7700	119.6700	discarded	Combined enter+exit selector dispatch for leaf nodes into single dispatchLeaf() method with pre-merged list. Eliminates one Map.get + function call per ~45K leaf nodes. A/B shows ~1ms improvement. Far below 10ms.
#83	thesis/83-compile-selector-fast-check-functions-to-bypass-esquery-matches-for-trivially-rejectable-selectors	300.8600	312.7900	non_improvement	Compile fast-check functions to bypass esquery.matches() for 3 common selector patterns: (1) all-identifier :matches() marked guaranteed match, (2) compound identifier+attribute compiled to direct property checks, (3) child identifier+field compiled to parent type+field ancestry check. Stored as compiledCheck on esquery AST root nodes (cached across files). Mean of 3 clean runs: candidate 300.86ms (298.37, 301.27, 302.95) vs baseline 312.79ms (310.11, 311.54, 316.73). ~12ms improvement. METRIC_A: 167.63 vs 177.96 (~10ms). METRIC_B: 3330.80 vs 3370.90 (~40ms). Fingerprint 4944605e99e3, 63 messages. 388 files, 0 errors, 0 warnings.
#79	thesis/79-reduce-no-unused-vars-rule-cost-by-optimizing-collectunusedvariables-scope-iteration	660.9300	662.0100	discarded	Deferred func-def detection in isUsedVariable, iterative scope walk in collectUnusedVariables, for-loop instead of .some() for refs. Interleaved A/B 3 rounds: candidate mean 660.93ms (657.99-664.26) vs baseline mean 662.01ms (659.64-666.44). Delta within noise. Rule Program:exit callback costs only ~4.5ms (not the ~11ms estimated by with/without measurement). Max savings capped at 4.5ms, below 5ms threshold.
#87	thesis/87-add-number-issafeinteger-fast-path-in-no-loss-of-precision-to-skip-precision-checks-for-safe-integers	632.7700	662.2000	accepted	Safe integer fast path in no-loss-of-precision: add Number.isSafeInteger() early return to skip all precision checks for safe integers. Module-level regex constants. 3 interleaved runs: candidate 632.77ms vs baseline 662.20ms. ~29ms improvement.
#88	thesis/88-replace-visitnodestep-callmethodstep-with-plain-object-literals	643.9800	661.0900	non_improvement	Lead-repaired attempt record (added missing branch field). Original data: 3 candidate runs mean 643.98ms, 3 baseline runs mean 661.09ms. METRIC_A improved ~17ms. METRIC_B neutral.
#78	thesis/78-combine-cpa-bypass-emit2-preres-dispatch	266.7300	299.5000	accepted	Lead-posted attempt record. Combined CPA node-type bypass (~6ms), positional CPA emit args (~3ms), callSyncSingle dispatch + plain object literals (~18ms). 3 benchmark runs: 261.86, 263.13, 275.20 (mean 266.73). Baseline: 299.50ms. Improvement: ~33ms. Fingerprint 4944605e99e3, 388 files, 0 errors.
#96	thesis/96-lazy-createindexmap	608.0300	590.0000	discarded	Lazy createIndexMap with mutable wrapper object (survives Object.freeze shallow). Threshold=200 lookups before building hash map. Binary search fallback for initial lookups. METRIC_B regresses ~250-450ms raw because per-call overhead of _getIndexMap() across millions of token lookups outweighs savings from deferring hash map construction.
#58	thesis/58-reduce-per-verify-allocation	310.4100	323.5100	non_improvement	Skip createIndexMap for files with >2000 tokens. Binary search fallback for large files, hash map for small files. 3 interleaved rounds: candidate mean 310.41ms, baseline mean 323.51ms. ~13ms improvement. Correctness verified.
#95	thesis/95-compile-fast-checks-at-parse-time	564.2300	581.5100	non_improvement	Compiled fast-checks at parse time stored on cached selector objects. 3 interleaved rounds: candidate mean 564.23ms, baseline mean 581.51ms. METRIC_A -17.42ms. METRIC_B +3.47ms (within tolerance). Correctness verified.
#94	thesis/94-pre-merge-selector-lists	263.6500	269.1400	accepted	Pre-merge selector lists by node type at construction time. 3 interleaved A/B rounds: candidate 263.65ms vs baseline 269.14ms. ~5.5ms improvement.
#106	thesis/106-cache-esqueryhelper-pre-merged-selector-maps-across-files-sharing-the-same-visitor-keys	577.6400	577.7800	discarded	Cached ESQueryHelper pre-computed selector data (preMergedEnter/Exit, anyType arrays) in single-slot module-level cache with name comparison. Cache hit correctly skips constructor work (parsing, bucketing, sorting, merging) for 387/388 files in METRIC_B. But constructor overhead is only ~50-100us per file (parse calls already cached via selectorCache, sort/merge on small arrays trivial). Total savings ~39ms raw METRIC_B = 1.6ms composite. Mean of 3 runs: METRIC 577.64 vs baseline 577.78 (-0.14ms, within noise).
#101	thesis/101-compile-selector-fast-checks	264.3800	264.6300	discarded	Tested 5 approaches for compiling selector fast-checks: (1) compiled fast-check functions for compound+attr and child+field patterns ~1-3ms, (2) cached nodeTypeKey + split enter/exit dispatch ~0ms, (3) direct dispatch skipping matches() for simple identifier selectors ~1ms, (4) combined inlined dispatch + direct identifier ~1.2ms, (5) inlined flat dispatch ~0ms. 91.4% of eslint-recommended selectors are simple identifiers where esquery.matches() is already near-trivial (switch+comparison). The pre-merge optimization from thesis #78 already captures most dispatch gains. None reached the 5ms metric_tolerance threshold.
#107	thesis/107-replace-ancestry-unshift-shift-with-push-pop-stack-and-reversed-index-for-o-1-per-node-ancestry-management	577.7800	577.7800	discarded	Ceiling test: disabling ancestry entirely saves ~21ms composite but causes 1 correctness error. Savings from esquery.matches doing less work with empty ancestry. V8 22 deque makes unshift/shift O(1) per thesis #39. Push/pop plus reversed adapter adds overhead without reducing real bottleneck (esquery ancestry traversal in node_modules).
