thesis	attempt	metric	baseline	status	summary
#50	thesis/50-preflop-ranges-attempt-2	0.5092	0.5000	discarded	Attempt-2 with heads-up adjusted ranges and pot odds
#50	thesis/50-preflop-ranges-attempt-1	0.5088	0.5000	discarded	Tiered preflop hand ranges and postflop guidelines
#61	thesis/61-pot-odds-tool-attempt-1	0.5085	0.5000	discarded	Pot odds calculator tool
#63	thesis/63-comprehensive-prompt-attempt-1	0.5083	0.5000	discarded	Comprehensive strategy prompt covering preflop ranges, bet sizing, pot odds
#67	thesis/67-counter-aggression-attempt-1	0.5042	0.5000	discarded	Counter-aggression rules (below metric tolerance)
#65	thesis/65-preflop-rank-attempt-1	0.5026	0.5000	discarded	Preflop hand ranking lookup tool
#82	thesis/82-combined-incremental-attempt-1	0.4742	0.5000	discarded	Combined board texture + river value (regressed below baseline)
#85	thesis/85-bb-checkraise-attempt-1	0.4703	0.5000	discarded	BB check-raise trap (regressed)
#83	thesis/83-poker-advisor-attempt-1	0.4683	0.5000	discarded	Deterministic poker advisor tool
#58	thesis/58-equity-calculator-attempt-1	0.4770	0.5000	discarded	Equity calculator tool + basic strategy prompt, catastrophic loss
#58	thesis/58-equity-calculator-attempt-2	0.4523	0.5000	discarded	Equity calculator tool with defensive prompt, still catastrophic loss
#95	thesis/95-turn-river-allin-attempt-1	0.6165	0.5000	discarded	All-in turn+river with 2pair+, 85% pot flop (close but below 0.6244)
#94	thesis/94-early-allin-attempt-1	0.5995	0.5000	discarded	All-in any street with 2pair+ (flop all-in too early, below 0.6244)
#55	thesis/55-aggression-attempt-5	0.6138	0.5000	discarded	100% pot flop, 75% turn + all-in river (below 0.6280)
#60	thesis/60-bluff-frequency-attempt-6	0.6102	0.5000	discarded	75% pot semi-bluffs + all-in river (below 0.6280)
#55	thesis/55-aggression-attempt-6	0.5890	0.5000	discarded	75% pot flop, 100% pot turn + all-in river
#78	thesis/78-action-history-attempt-4	0.5862	0.5000	discarded	Double barrel fold + all-in river
#94	thesis/94-allin-monster-attempt-2	0.6330	0.5000	discarded	All-in any street with two pair+, top pair bet 75% (above 0.6280, below 0.6395)
#97	thesis/97-allin-tptk-river-attempt-1	0.6259	0.5000	discarded	All-in with TPTK+ on river (above 0.6244, below 0.6280 at time)
#54	thesis/54-bet-sizing-attempt-5	0.6219	0.5000	discarded	100% pot c-bet + all-in river two pair+ (below 0.6280)
#88	thesis/88-river-opt-attempt-8	0.6219	0.5000	discarded	All-in river with top pair+ (wider range, below 0.6280)
#88	thesis/88-river-opt-attempt-9	0.6211	0.5000	discarded	All-in river + 3x preflop opens (below 0.6280)
#81	thesis/81-decision-tree-attempt-3	0.6207	0.5000	discarded	Decision tree with all-in river (below 0.6280)
#96	thesis/96-allin-preflop-aa-attempt-2	0.6150	0.5000	discarded	AA/KK preflop all-in on SPR-aware base (below 0.6280)
#60	thesis/60-bluff-frequency-attempt-7	0.6271	0.5000	discarded	75% pot semi-bluffs on SPR-aware base (below 0.6280)
#79	thesis/79-any-two-attempt-4	0.6074	0.5000	discarded	Open nearly every hand + all-in river (below 0.6280)
#88	thesis/88-river-opt-attempt-7	0.6067	0.5000	discarded	All-in any street with two pair+ (below 0.6280)
#92	thesis/92-remove-format-attempt-2	0.6044	0.5000	discarded	Ultra-compressed prompt on SPR-aware base (below 0.6280)
#85	thesis/85-bb-checkraise-attempt-3	0.6033	0.5000	discarded	BB check-raise sets + all-in river (below 0.6280)
#80	thesis/80-stack-preservation-attempt-4	0.5977	0.5000	discarded	Fold one pair to all-in + river all-in (below 0.6280)
#64	thesis/64-board-texture-attempt-3	0.5953	0.5000	discarded	Board texture sizing + all-in river (below 0.6280)
#78	thesis/78-action-history-attempt-2	0.5948	0.5000	discarded	Read opponent actions for fold decisions (below 0.5925 at time)
#54	thesis/54-bet-sizing-attempt-6	0.5934	0.5000	discarded	5x BB preflop raises on SPR-aware base (below 0.6280)
#57	thesis/57-river-value-attempt-3	0.5920	0.5000	discarded	Check one pair, overbet two pair+ on river
#88	thesis/88-river-opt-attempt-4	0.5914	0.5000	discarded	All-in river two pair+ (identical to accepted, different run)
#98	thesis/98-allin-sets-flop-attempt-2	0.5888	0.5000	discarded	Sets+ flop all-in, two pair+ turn/river on SPR-aware base
#88	thesis/88-river-opt-attempt-10	0.5871	0.5000	discarded	All-in turn+river two pair+ on SPR-aware base
#55	thesis/55-aggression-attempt-4	0.5814	0.5000	discarded	100% pot flop, 75% turn, river overbet
#60	thesis/60-bluff-frequency-attempt-5	0.5827	0.5000	discarded	No semi-bluffs, check-call draws only (confirms semi-bluffs help)
#79	thesis/79-any-two-attempt-3	0.5786	0.5000	discarded	Raise 90% of hands from SB/BTN
#57	thesis/57-river-value-attempt-6	0.5767	0.5000	discarded	Thin value 50% pot top pair on river + all-in two pair+
#67	thesis/67-counter-aggression-attempt-3	0.5721	0.5000	discarded	Fold one pair to raises + all-in river (hurts performance)
#54	thesis/54-bet-sizing-attempt-3	0.5754	0.5000	discarded	75% pot consistently
#57	thesis/57-river-value-attempt-5	0.5608	0.5000	discarded	River check one pair, overbet two pair+
#88	thesis/88-river-opt-attempt-6	0.5608	0.5000	discarded	No river overbet, 75% pot only (confirms overbet essential)
#59	thesis/59-strict-json-attempt-3	0.5505	0.5000	discarded	Ultra-strict JSON-only prompt (too minimal)
#84	thesis/84-ultra-minimal-attempt-3	0.5192	0.5000	discarded	Single-paragraph prompt (111 tokens, too compressed)
#79	thesis/79-any-two-attempt-5	—	0.5000	crashed	Open every hand from button on SPR-aware base (did not complete)
